ghe_code,cause_ru,eligibility,module,candidate_inputs_or_gap,registry_evidence,current_endpoint_limitation,source_urls,sex_age_mortality_data,complete_sex_age_biomarker_coefficients_extracted,fitted_absolute_cause_specific_mortality_model,deaths_RUS,deaths_DEU,deaths_USA
620,Рак полости рта и ротоглотки,compatible,Онкологический: требуется обзор по локализации,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,10897.024951798001,6055.75961028,13262.243846932
640,Рак желудка,compatible,Онкологический: требуется обзор по локализации,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,27438.832809918,9570.356960707,12602.3668198
650,Колоректальный рак,compatible,Онкологический: колоректальный,"cfDNA — кандидат отдельного диагностического модуля, не минимальной панели смерти",ECLIPSE2024,"Диагностическая чувствительность/специфичность, не смертностный прогноз",https://pubmed.ncbi.nlm.nih.gov/38477985/,"source available: male, female, both sexes; 8 age strata",False,False,41435.243371366,27092.878398181,62533.311983825
660,Рак печени,compatible,Онкологический: требуется обзор по локализации,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,11178.990723216,8680.290960451,29336.653768245
670,Рак поджелудочной железы,compatible,Онкологический: требуется обзор по локализации,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,20452.378588378997,20354.959320083002,48806.377709669
680,"Рак трахеи, бронхов и лёгкого",compatible,Онкологический: лёгкое,Курение и клинический профиль PLCOm2012; кровь не заменяет клиническую модель,PLCOm2012_2013,"6-летняя заболеваемость, не смерть",https://pubmed.ncbi.nlm.nih.gov/23425165/,"source available: male, female, both sexes; 8 age strata",False,False,52959.955459445,47600.228280450996,137069.503643128
700,Рак молочной железы,compatible,Онкологический: требуется обзор по локализации,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,22687.990033982,21353.874859577998,48875.719962869
740,Рак предстательной железы,compatible,Онкологический: требуется обзор по локализации,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,14491.279916262,17539.803934531003,37258.270894291
750,Рак мочевого пузыря,compatible,Онкологический: требуется обзор по локализации,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,6020.660203367,6584.6121393250005,19324.292111877
751,Опухоли мозга и нервной системы,compatible,Онкологический: требуется обзор по локализации,Маркер для этой причины не выбран в текущем реестре,нет извлечённой cause-specific модели,"Пробел текущего проекта, не доказательство отсутствия подходящих исследований",,"source available: male, female, both sexes; 8 age strata",False,False,8657.95751926552,7007.53738840599,20688.912506085297
